round,suite,model,panel_excl_same_family,cases,all_judges,claude-opus-5,gemini-3.1-pro-preview,gpt-5.5
round1,coaching,gw-gemini-3.5-flash-lite,4.0,3,4.0,4.333,4.0,3.667
round1,coaching,gw-gemma-4-31b,4.0,3,4.222,4.0,4.667,4.0
round1,coaching,gw-gpt-oss-120b,2.333,3,2.556,2.667,2.0,3.0
round1,coaching,gw-llama-4-maverick,2.889,3,2.889,3.0,2.333,3.333
round1,coaching,gw-solar-pro4,4.556,3,4.556,4.667,4.0,5.0
round1,coaching,local-ax4-light,2.444,3,2.444,2.333,2.0,3.0
round1,coaching,local-qwen3-4b-instruct,2.444,3,2.444,2.333,2.0,3.0
round1,coaching,local-qwen3.5-4b,2.0,3,2.0,2.0,1.667,2.333
round1,followup,gw-gemini-3.5-flash-lite,4.179,14,4.262,4.0,4.429,4.357
round1,followup,gw-gemma-4-31b,4.036,14,4.31,3.929,4.857,4.143
round1,followup,gw-gpt-oss-120b,3.143,14,3.381,3.286,3.0,3.857
round1,followup,gw-llama-4-maverick,3.071,14,3.071,3.286,2.714,3.214
round1,followup,gw-solar-pro4,3.857,14,3.857,3.786,3.357,4.429
round1,followup,local-ax4-light,2.167,14,2.167,2.143,1.714,2.643
round1,followup,local-midm2-mini,1.619,14,1.619,1.643,1.357,1.857
round1,followup,local-qwen3-4b-instruct,2.595,14,2.595,2.571,2.429,2.786
round1,followup,local-qwen3.5-4b,2.69,14,2.69,2.714,2.214,3.143
round1,questions,gw-gemini-3.1-pro,4.4,5,4.467,4.4,4.6,4.4
round1,questions,gw-gemini-3.5-flash-lite,4.2,5,4.2,4.2,4.2,4.2
round1,questions,gw-gemma-4-31b,4.1,5,4.267,4.0,4.6,4.2
round1,questions,gw-gpt-oss-120b,2.7,5,2.867,2.4,3.0,3.2
round1,questions,gw-llama-4-maverick,2.533,5,2.533,2.8,1.8,3.0
round1,questions,gw-solar-pro4,3.733,5,3.733,3.8,3.0,4.4
round1,questions,local-ax4-light,2.556,3,2.556,2.667,2.333,2.667
round1,questions,local-midm2-mini,2.0,1,2.0,2.0,2.0,2.0
round1,questions,local-qwen3-4b-instruct,3.4,5,3.4,3.0,3.2,4.0
round1,questions,local-qwen3.5-4b,2.889,3,2.889,2.667,2.333,3.667
round2,coaching,gw-gemini-3.5-flash-lite,4.333,3,4.333,4.0,4.333,4.667
round2,coaching,gw-gemma-4-31b,4.167,3,4.444,4.333,5.0,4.0
round2,coaching,lcpp-gemma4-26b-a4b-iq3s,4.667,3,4.444,4.333,4.0,5.0
round2,coaching,lcpp-gemma4-e2b,2.833,3,3.111,2.667,3.667,3.0
round2,coaching,lcpp-gemma4-e4b,3.333,3,3.333,3.0,3.333,3.667
round2,coaching,lcpp-kanana2-3b,1.0,1,1.0,1.0,1.0,1.0
round2,coaching,lcpp-qwen3-4b-jsonschema,2.556,3,2.556,2.0,2.667,3.0
round2,coaching,lcpp-qwen3.6-35b-a3b-q2kxl,3.333,3,3.333,3.0,3.333,3.667
round2,coaching,local-qwen3-4b-instruct,2.667,3,2.667,2.0,3.0,3.0
round2,followup,gw-gemini-3.5-flash-lite,4.179,14,4.262,4.071,4.429,4.286
round2,followup,gw-gemma-4-31b,4.179,14,4.405,4.071,4.857,4.286
round2,followup,lcpp-gemma4-26b-a4b-iq3s,3.786,14,3.81,3.714,3.857,3.857
round2,followup,lcpp-gemma4-e2b,3.071,14,2.881,2.857,2.5,3.286
round2,followup,lcpp-gemma4-e4b,3.214,14,3.071,3.0,2.786,3.429
round2,followup,lcpp-gptoss-20b,3.036,14,3.214,3.214,2.857,3.571
round2,followup,lcpp-kanana2-3b,1.31,14,1.31,1.286,1.214,1.429
round2,followup,lcpp-qwen3.6-35b-a3b-q2kxl,3.31,14,3.31,3.143,3.0,3.786
round2,followup,local-qwen3-4b-instruct,2.524,14,2.524,2.357,2.429,2.786
round2,questions,gw-gemini-3.1-pro,4.7,5,4.667,4.8,4.6,4.6
round2,questions,gw-gemini-3.5-flash-lite,4.3,5,4.2,4.2,4.0,4.4
round2,questions,gw-gemma-4-31b,4.1,5,4.2,4.0,4.4,4.2
round2,questions,lcpp-gemma4-26b-a4b-iq3s,4.0,5,3.867,4.2,3.6,3.8
round2,questions,lcpp-gemma4-e2b,3.2,5,3.0,2.8,2.6,3.6
round2,questions,lcpp-gemma4-e4b,3.6,5,3.667,3.2,3.8,4.0
round2,questions,lcpp-gptoss-20b,2.75,4,3.0,2.75,2.75,3.5
round2,questions,lcpp-kanana2-3b,1.0,5,1.0,1.0,1.0,1.0
round2,questions,lcpp-qwen3-4b-jsonschema,2.667,5,2.667,2.4,2.4,3.2
round2,questions,lcpp-qwen3.6-35b-a3b-q2kxl,4.0,4,4.0,3.75,4.25,4.0
round2,questions,local-qwen3-4b-instruct,3.133,5,3.133,2.8,2.8,3.8
